case_id,activity,enable_time,start_time,end_time,resource
0,Packing,2012-01-02 14:50:11.901678+00:00,2012-01-02 14:50:11.901678+00:00,2012-01-02 14:50:11.901678+00:00,ID4291
1,Packing,2012-01-02 18:17:06.706479+00:00,2012-01-02 21:36:00.000000+00:00,2012-01-02 21:36:00.000000+00:00,ID4491
0,Turning & Milling,2012-01-02 19:39:13.004616+00:00,2012-01-02 21:36:00.000000+00:00,2012-01-02 21:51:00.000000+00:00,ID0937
1,Turning & Milling,2012-01-03 03:25:12.835683+00:00,2012-01-03 03:25:12.835684+00:00,2012-01-03 03:25:12.835684+00:00,ID4140
3,Packing,2012-01-03 19:13:47.818580+00:00,2012-01-04 06:24:00.000000+00:00,2012-01-04 06:24:00.000000+00:00,ID4820
2,Packing,2012-01-04 19:24:01.534243+00:00,2012-01-04 21:36:00.000000+00:00,2012-01-04 21:36:00.000000+00:00,ID4291
3,Turning & Milling,2012-01-04 20:25:47.686757+00:00,2012-01-04 21:36:00.000000+00:00,2012-01-05 06:39:00.001001+00:00,ID4162
2,Turning & Milling,2012-01-04 22:16:31.896409+00:00,2012-01-04 22:24:00.000000+00:00,2012-01-04 22:28:21.678910+00:00,ID4167
5,Packing,2012-01-04 23:43:31.117461+00:00,2012-01-04 23:43:31.117461+00:00,2012-01-04 23:43:31.117461+00:00,ID4491
4,Packing,2012-01-05 01:09:09.481286+00:00,2012-01-05 06:24:00.000000+00:00,2012-01-05 06:24:00.000000+00:00,ID4820
7,Turning,2012-01-05 04:05:37.433816+00:00,2012-01-05 06:24:00.000000+00:00,2012-01-05 06:24:00.000001+00:00,ID3718
6,Packing,2012-01-05 08:43:18.462354+00:00,2012-01-05 08:43:18.462354+00:00,2012-01-05 08:43:18.462354+00:00,ID4291
6,Turning & Milling,2012-01-05 09:23:40.537018+00:00,2012-01-05 09:23:40.537019+00:00,2012-01-05 10:38:40.537019+00:00,ID4287
5,Turning & Milling,2012-01-05 23:14:27.267702+00:00,2012-01-06 06:24:00.000000+00:00,2012-01-06 06:49:31.415317+00:00,ID4429
7,Turning Q.C.,2012-01-06 04:15:53.912434+00:00,2012-01-06 06:24:00.000000+00:00,2012-01-06 06:30:48.788416+00:00,ID4493
9,Packing,2012-01-06 05:26:35.993416+00:00,2012-01-06 06:24:00.000000+00:00,2012-01-06 06:24:00.000000+00:00,ID4491
4,Turning & Milling,2012-01-06 06:53:38.265481+00:00,2012-01-06 06:53:38.265481+00:00,2012-01-06 06:53:38.265481+00:00,ID4445
9,Turning & Milling,2012-01-06 07:48:05.649115+00:00,2012-01-06 08:00:00.000000+00:00,2012-01-06 08:45:28.109166+00:00,ID4529
8,Packing,2012-01-06 21:57:12.292451+00:00,2012-01-08 06:24:00.000000+00:00,2012-01-08 06:24:00.000000+00:00,ID4820
10,Packing,2012-01-07 22:35:08.288488+00:00,2012-01-08 06:24:00.000000+00:00,2012-01-08 06:24:00.000000+00:00,ID4291
10,Turning & Milling,2012-01-08 06:27:16.523916+00:00,2012-01-08 06:27:16.523916+00:00,2012-01-08 06:58:49.294275+00:00,ID4718
8,Turning & Milling,2012-01-08 07:00:20.693011+00:00,2012-01-08 08:00:00.000000+00:00,2012-01-08 15:24:00.000001+00:00,ID4783
10,Lapping,2012-01-08 07:38:19.380972+00:00,2012-01-08 08:00:00.000000+00:00,2012-01-08 08:59:27.550109+00:00,ID0420
10,Round Grinding,2012-01-08 08:59:27.550109+00:00,2012-01-08 08:59:27.550109+00:00,2012-01-08 10:22:27.550109+00:00,ID3854
10,Turning & Milling Q.C.,2012-01-08 10:34:33.078984+00:00,2012-01-08 10:34:33.078984+00:00,2012-01-08 10:53:49.754024+00:00,ID4163
10,Turning & Milling,2012-01-08 14:49:53.622896+00:00,2012-01-08 14:49:53.622896+00:00,2012-01-08 15:00:53.622896+00:00,ID4872
14,Flat Grinding,2012-01-09 02:21:37.106752+00:00,2012-01-09 02:24:00.000000+00:00,2012-01-09 02:24:00.000000+00:00,ID3716
12,Packing,2012-01-09 03:23:44.456434+00:00,2012-01-09 06:24:00.000000+00:00,2012-01-09 06:24:00.000000+00:00,ID4491
16,Turning,2012-01-09 07:58:58.388320+00:00,2012-01-09 08:00:00.000000+00:00,2012-01-09 08:00:00.000000+00:00,ID4442
12,Turning Q.C.,2012-01-09 08:07:54.810081+00:00,2012-01-09 18:24:00.000000+00:00,2012-01-09 18:30:05.226075+00:00,ID4618
16,Lapping,2012-01-09 15:01:49.118462+00:00,2012-01-09 16:48:00.000000+00:00,2012-01-09 21:39:00.000000+00:00,ID4355
2,Lapping,2012-01-09 16:22:07.210212+00:00,2012-01-09 16:48:00.000000+00:00,2012-01-10 03:22:58.130201+00:00,ID4528
18,Turning,2012-01-09 19:31:07.658868+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-10 06:28:34.773281+00:00,ID4932
12,Turning & Milling,2012-01-09 21:56:16.586364+00:00,2012-01-10 08:48:00.000000+00:00,2012-01-10 08:48:29.022529+00:00,ID4794
